camera,day,frame_file,timestamp,person_count
balcony,day1,balcony_day1_18-10-30.jpg,18:10:30,12
balcony,day1,balcony_day1_18-10-33.jpg,18:10:33,11
balcony,day1,balcony_day1_18-10-36.jpg,18:10:36,8
balcony,day1,balcony_day1_18-10-39.jpg,18:10:39,10
balcony,day1,balcony_day1_18-10-42.jpg,18:10:42,9
balcony,day1,balcony_day1_18-10-45.jpg,18:10:45,10
balcony,day1,balcony_day1_18-10-48.jpg,18:10:48,13
balcony,day1,balcony_day1_18-10-51.jpg,18:10:51,13
balcony,day1,balcony_day1_18-10-54.jpg,18:10:54,10
balcony,day1,balcony_day1_18-10-57.jpg,18:10:57,9
balcony,day1,balcony_day1_18-11-00.jpg,18:11:00,11
balcony,day1,balcony_day1_18-11-03.jpg,18:11:03,11
balcony,day1,balcony_day1_18-11-06.jpg,18:11:06,6
balcony,day1,balcony_day1_18-11-09.jpg,18:11:09,7
balcony,day1,balcony_day1_18-11-12.jpg,18:11:12,7
balcony,day1,balcony_day1_18-11-15.jpg,18:11:15,7
balcony,day1,balcony_day1_18-11-18.jpg,18:11:18,7
balcony,day1,balcony_day1_18-11-21.jpg,18:11:21,10
balcony,day1,balcony_day1_18-11-24.jpg,18:11:24,17
balcony,day1,balcony_day1_18-11-27.jpg,18:11:27,15
balcony,day1,balcony_day1_18-11-30.jpg,18:11:30,18
balcony,day1,balcony_day1_18-11-33.jpg,18:11:33,18
balcony,day1,balcony_day1_18-11-36.jpg,18:11:36,18
balcony,day1,balcony_day1_18-11-39.jpg,18:11:39,9
balcony,day1,balcony_day1_18-11-42.jpg,18:11:42,12
balcony,day1,balcony_day1_18-11-45.jpg,18:11:45,6
balcony,day1,balcony_day1_18-11-48.jpg,18:11:48,8
balcony,day1,balcony_day1_18-11-51.jpg,18:11:51,6
balcony,day1,balcony_day1_18-11-54.jpg,18:11:54,8
balcony,day1,balcony_day1_18-11-57.jpg,18:11:57,7
balcony,day1,balcony_day1_18-12-00.jpg,18:12:00,9
balcony,day1,balcony_day1_18-12-03.jpg,18:12:03,9
balcony,day1,balcony_day1_18-12-06.jpg,18:12:06,9
balcony,day1,balcony_day1_18-12-09.jpg,18:12:09,10
balcony,day1,balcony_day1_18-12-12.jpg,18:12:12,11
balcony,day1,balcony_day1_18-12-15.jpg,18:12:15,8
balcony,day1,balcony_day1_18-12-18.jpg,18:12:18,8
balcony,day1,balcony_day1_18-12-21.jpg,18:12:21,6
balcony,day1,balcony_day1_18-12-24.jpg,18:12:24,7
balcony,day1,balcony_day1_18-12-27.jpg,18:12:27,6
balcony,day1,balcony_day1_18-12-30.jpg,18:12:30,11
balcony,day1,balcony_day1_18-12-33.jpg,18:12:33,15
balcony,day1,balcony_day1_18-12-36.jpg,18:12:36,4
balcony,day1,balcony_day1_18-12-39.jpg,18:12:39,3
balcony,day1,balcony_day1_18-12-42.jpg,18:12:42,8
balcony,day1,balcony_day1_18-12-45.jpg,18:12:45,8
balcony,day1,balcony_day1_18-12-48.jpg,18:12:48,10
balcony,day1,balcony_day1_18-12-51.jpg,18:12:51,3
balcony,day1,balcony_day1_18-12-54.jpg,18:12:54,13
balcony,day1,balcony_day1_18-12-57.jpg,18:12:57,17
balcony,day1,balcony_day1_18-13-00.jpg,18:13:00,5
balcony,day1,balcony_day1_18-13-03.jpg,18:13:03,7
balcony,day1,balcony_day1_18-13-06.jpg,18:13:06,8
balcony,day1,balcony_day1_18-13-09.jpg,18:13:09,6
balcony,day1,balcony_day1_18-13-12.jpg,18:13:12,8
